NroInstrumento;LinkExterno;Modalidade;ValorDoInstrumento;IngressoDeContrapartida;AcaoOrçamentaria;Objeto;NomeProponente;Estado;CNPJ;SituacaoInstrumento;DataFimDeVigenciaConv;NroProcesso;NroDaEmenda
915343;https://discricionarias.transferegov.sistema.gov.br/voluntarias/ConsultarProposta/ResultadoDaConsultaDePropostaDetalharProposta.do?idProposta=1660170&Usr=guest&Pwd=guest;CONVENIO;;15000.00;2E870028;Estruturação das atividades de saúde e bem-estar animal, incluído o controle populacional de cães e gatos no município de São Cristóvão/SE.;MUNICIPIO DE SAO CRISTOVAO;;13.128.855/0001-44;Prestação de Contas enviada para Análise;2022-11-10;02000.002546/2021-60;26080001
915333;https://discricionarias.transferegov.sistema.gov.br/voluntarias/ConsultarProposta/ResultadoDaConsultaDePropostaDetalharProposta.do?idProposta=1662492&Usr=guest&Pwd=guest;CONVENIO;;2500.00;2E870015;Estruturação das atividades de saúde e bem-estar animal, incluído o controle populacional de cães e gatos.;MUNICIPIO DE BENEVIDES;;05.058.466/0001-61;Prestação de Contas enviada para Análise;2022-11-10;02000.002530/2021-50;39330004
914572;https://discricionarias.transferegov.sistema.gov.br/voluntarias/ConsultarProposta/ResultadoDaConsultaDePropostaDetalharProposta.do?idProposta=1659041&Usr=guest&Pwd=guest;CONVENIO;;160;2E870023;Estruturação das atividades de saúde e bem-estar animal, com enfoque no controle populacional de cães e gatos no Município de Orós;MUNICIPIO DE OROS;;07.670.821/0001-84;Prestação de Contas em Análise;2022-11-10;02000.002493/2021-80;20830011
914529;https://discricionarias.transferegov.sistema.gov.br/voluntarias/ConsultarProposta/ResultadoDaConsultaDePropostaDetalharProposta.do?idProposta=1658998&Usr=guest&Pwd=guest;CONVENIO;;178114.00;2E870023;Estruturação das atividades de saúde e bem-estar animal, com enfoque no controle populacional de cães e gatos no Município de Crato;MUNICIPIO DE CRATO;;07.587.975/0001-07;Prestação de Contas em Análise;2022-11-10;02000.002491/2021-90;20830011
915434;https://discricionarias.transferegov.sistema.gov.br/voluntarias/ConsultarProposta/ResultadoDaConsultaDePropostaDetalharProposta.do?idProposta=1659352&Usr=guest&Pwd=guest;CONVENIO;;1800.00;2E870043;Ampliação das atividades de saúde e bem-estar animal, incluíndo o controle populacional de cães e gatos no município de Canoas – RS.;MUNICIPIO DE CANOAS;;88.577.416/0001-18;Prestação de Contas em Análise;2022-11-26;02000.002630/2021-80;28630006
919251;https://discricionarias.transferegov.sistema.gov.br/voluntarias/ConsultarProposta/ResultadoDaConsultaDePropostaDetalharProposta.do?idProposta=1657912&Usr=guest&Pwd=guest;CONVENIO;;0;2E870043;Estruturação das atividades de saúde e bem-estar animal, incluindo o controle populacional e vacinação de cães e gatos.;MUNICIPIO DE ESTANCIA VELHA;;88.254.883/0001-07;Aguardando Prestação de Contas;2022-12-10;02000.002609/2021-80;32400001
919078;https://discricionarias.transferegov.sistema.gov.br/voluntarias/ConsultarProposta/ResultadoDaConsultaDePropostaDetalharProposta.do?idProposta=1658479&Usr=guest&Pwd=guest;CONVENIO;;30000.00;2E870033;Estruturação das atividades de saúde e bem estar animal, incluindo o controle populacional de cães e gatos.;MUNICIPIO DE MENDES;;28.580.694/0001-00;Aguardando Prestação de Contas;2022-12-10;02000.002548/2021-50;27780010
915305;https://discricionarias.transferegov.sistema.gov.br/voluntarias/ConsultarProposta/ResultadoDaConsultaDePropostaDetalharProposta.do?idProposta=1657635&Usr=guest&Pwd=guest;CONVENIO;;30000.00;2E870043;ESTRUTURAÇÃO DE ATIVIDADES E CONSCIENTIZAÇÃO DE SAÚDE PÚBLICA, BEM-ESTAR ANIMAL E CONTROLE POPULACIONAL DE CÃES E GATOS.;MUNICIPIO DE QUARAI;;88.123.492/0001-53;Prestação de Contas enviada para Análise;2022-12-10;02000.002651/2021-00;40730006
915474;https://discricionarias.transferegov.sistema.gov.br/voluntarias/ConsultarProposta/ResultadoDaConsultaDePropostaDetalharProposta.do?idProposta=1661132&Usr=guest&Pwd=guest;CONVENIO;;61433.33;2E870043;Estruturação das atividades de saúde e bem-estar animal, com enfoque no controle populacional de cães e gatos.;MUNICIPIO DO RIO GRANDE;;88.566.872/0001-62;Aguardando Prestação de Contas;2022-12-16;02000.002610/2021-10;32400001
913885;https://discricionarias.transferegov.sistema.gov.br/voluntarias/ConsultarProposta/ResultadoDaConsultaDePropostaDetalharProposta.do?idProposta=1661334&Usr=guest&Pwd=guest;CONVENIO;;0;2E870033;Contribuir para o controle da população de animais em situações excepcionais.;MUNICIPIO DE IGUABA GRANDE;;01.615.882/0001-62;Aguardando Prestação de Contas;2022-12-16;02000.002474/2021-50;37650002
915334;https://discricionarias.transferegov.sistema.gov.br/voluntarias/ConsultarProposta/ResultadoDaConsultaDePropostaDetalharProposta.do?idProposta=1662743&Usr=guest&Pwd=guest;CONVENIO;;1000.00;2E870035;- Ações de controle populacional de animais em situação de rua e vulneráveis no município de Dourado, estado de São Paulo.;MUNICIPIO DE DOURADO;;51.814.960/0001-26;Prestação de Contas enviada para Análise;2022-12-20;02000.002533/2021-90;39460004
921144;https://discricionarias.transferegov.sistema.gov.br/voluntarias/ConsultarProposta/ResultadoDaConsultaDePropostaDetalharProposta.do?idProposta=1718946&Usr=guest&Pwd=guest;CONVENIO;;0;2E870031;Estruturação das atividades de saúde e bem estar animal com controle populacional de animais através de veículo Castramovel;MUNICIPIO DE LAMBARI;;17.877.200/0001-20;Aguardando Prestação de Contas;2022-12-27;02000.002631/2021-20;27550007
919577;https://discricionarias.transferegov.sistema.gov.br/voluntarias/ConsultarProposta/ResultadoDaConsultaDePropostaDetalharProposta.do?idProposta=1699299&Usr=guest&Pwd=guest;CONVENIO;;0;2E870027;Estruturação das Atividades de Saúde e Bem-estar animal, incluído o Controle Populacional de Cães e Gatos;MUNICIPIO DE MARAGOGI;;12.248.522/0001-96;Aguardando Prestação de Contas;2022-12-27;02000.002674/2021-10;41780009
919248;https://discricionarias.transferegov.sistema.gov.br/voluntarias/ConsultarProposta/ResultadoDaConsultaDePropostaDetalharProposta.do?idProposta=1701293&Usr=guest&Pwd=guest;CONVENIO;;1200.00;2E870035;Estruturação das atividades de saúde e bem-estar animal, incluído o controle populacional de cães e gatos;MUNICIPIO DE MARACAI;;44.494.136/0001-70;Prestação de Contas enviada para Análise;2022-12-27;02000.005480/2021-60;28150003
915359;https://discricionarias.transferegov.sistema.gov.br/voluntarias/ConsultarProposta/ResultadoDaConsultaDePropostaDetalharProposta.do?idProposta=1663487&Usr=guest&Pwd=guest;TERMO DE FOMENTO;;0;2E870035;Implementação de Controle Populacional de cães e gatos no Município de Santos, Estado de São Paulo visando a redução da proliferação destes animais, através da castração de cadelas e gatas.;O.N.G. VIVA BICHO;;04.024.684/0001-12;Prestação de Contas enviada para Análise;2022-12-27;02000.002671/2021-70;41710001
